id	first_seen_utc	first_seen_confidence	observed_in_run	window_start_utc
5263	2026-08-31T03:48:46+00:00	unbounded	20260831T033020+0000	
5264	2026-08-31T03:48:44+00:00	unbounded	20260831T033020+0000	
5265	2026-08-31T03:48:41+00:00	unbounded	20260831T033020+0000	
5266	2026-08-31T03:48:39+00:00	unbounded	20260831T033020+0000	
5267	2026-08-31T03:48:37+00:00	unbounded	20260831T033020+0000	
5268	2026-08-31T03:48:35+00:00	unbounded	20260831T033020+0000	
5269	2026-08-31T03:48:32+00:00	unbounded	20260831T033020+0000	
5270	2026-08-31T03:48:30+00:00	unbounded	20260831T033020+0000	
5271	2026-08-31T03:48:28+00:00	unbounded	20260831T033020+0000	
5272	2026-08-31T03:48:26+00:00	unbounded	20260831T033020+0000	
5273	2026-08-31T03:48:24+00:00	unbounded	20260831T033020+0000	
5274	2026-08-31T03:48:22+00:00	unbounded	20260831T033020+0000	
5275	2026-08-31T03:48:19+00:00	unbounded	20260831T033020+0000	
5276	2026-08-31T03:48:17+00:00	unbounded	20260831T033020+0000	
5277	2026-08-31T03:48:15+00:00	unbounded	20260831T033020+0000	
5278	2026-08-31T03:48:13+00:00	unbounded	20260831T033020+0000	
5279	2026-08-31T03:48:11+00:00	unbounded	20260831T033020+0000	
5280	2026-08-31T03:48:09+00:00	unbounded	20260831T033020+0000	
5281	2026-08-31T03:48:07+00:00	unbounded	20260831T033020+0000	
5282	2026-08-31T03:48:05+00:00	unbounded	20260831T033020+0000	
5283	2026-08-31T03:48:02+00:00	unbounded	20260831T033020+0000	
5284	2026-08-31T03:48:00+00:00	unbounded	20260831T033020+0000	
5285	2026-08-31T03:47:58+00:00	unbounded	20260831T033020+0000	
5286	2026-08-31T03:47:56+00:00	unbounded	20260831T033020+0000	
5287	2026-08-31T03:47:53+00:00	unbounded	20260831T033020+0000	
5288	2026-08-31T03:47:51+00:00	unbounded	20260831T033020+0000	
5289	2026-08-31T03:47:49+00:00	unbounded	20260831T033020+0000	
5290	2026-08-31T03:47:46+00:00	unbounded	20260831T033020+0000	
5291	2026-08-31T03:47:44+00:00	unbounded	20260831T033020+0000	
5292	2026-08-31T03:47:42+00:00	unbounded	20260831T033020+0000	
5294	2026-08-31T03:47:37+00:00	unbounded	20260831T033020+0000	
5295	2026-08-31T03:47:35+00:00	unbounded	20260831T033020+0000	
5296	2026-08-31T03:47:33+00:00	unbounded	20260831T033020+0000	
5297	2026-08-31T03:47:31+00:00	unbounded	20260831T033020+0000	
5299	2026-08-31T03:47:26+00:00	unbounded	20260831T033020+0000	
5300	2026-08-31T03:47:24+00:00	unbounded	20260831T033020+0000	
5301	2026-08-31T03:47:22+00:00	unbounded	20260831T033020+0000	
5302	2026-08-31T03:47:20+00:00	unbounded	20260831T033020+0000	
5303	2026-08-31T03:47:18+00:00	unbounded	20260831T033020+0000	
5304	2026-08-31T03:47:15+00:00	unbounded	20260831T033020+0000	
5305	2026-08-31T03:47:13+00:00	unbounded	20260831T033020+0000	
5306	2026-08-31T03:47:11+00:00	unbounded	20260831T033020+0000	
5307	2026-08-31T03:47:09+00:00	unbounded	20260831T033020+0000	
5308	2026-08-31T03:47:07+00:00	unbounded	20260831T033020+0000	
5309	2026-08-31T03:47:04+00:00	unbounded	20260831T033020+0000	
5316	2026-08-31T03:46:49+00:00	unbounded	20260831T033020+0000	
5317	2026-08-31T03:46:46+00:00	unbounded	20260831T033020+0000	
5318	2026-08-31T03:46:44+00:00	unbounded	20260831T033020+0000	
5319	2026-08-31T03:46:42+00:00	unbounded	20260831T033020+0000	
5320	2026-08-31T03:46:40+00:00	unbounded	20260831T033020+0000	
5321	2026-08-31T03:46:38+00:00	unbounded	20260831T033020+0000	
5322	2026-08-31T03:46:36+00:00	unbounded	20260831T033020+0000	
5323	2026-08-31T03:46:34+00:00	unbounded	20260831T033020+0000	
5324	2026-08-31T03:46:32+00:00	unbounded	20260831T033020+0000	
5325	2026-08-31T03:46:30+00:00	unbounded	20260831T033020+0000	
5326	2026-08-31T03:46:28+00:00	unbounded	20260831T033020+0000	
5327	2026-08-31T03:46:26+00:00	unbounded	20260831T033020+0000	
5328	2026-08-31T03:46:24+00:00	unbounded	20260831T033020+0000	
5329	2026-08-31T03:46:22+00:00	unbounded	20260831T033020+0000	
5330	2026-08-31T03:46:20+00:00	unbounded	20260831T033020+0000	
5331	2026-08-31T03:46:18+00:00	unbounded	20260831T033020+0000	
5334	2026-08-31T03:46:11+00:00	unbounded	20260831T033020+0000	
5335	2026-08-31T03:46:09+00:00	unbounded	20260831T033020+0000	
5336	2026-08-31T03:46:07+00:00	unbounded	20260831T033020+0000	
5337	2026-08-31T03:46:05+00:00	unbounded	20260831T033020+0000	
5343	2026-08-31T03:45:51+00:00	unbounded	20260831T033020+0000	
5344	2026-08-31T03:45:49+00:00	unbounded	20260831T033020+0000	
5345	2026-08-31T03:45:47+00:00	unbounded	20260831T033020+0000	
5346	2026-08-31T03:45:45+00:00	unbounded	20260831T033020+0000	
5347	2026-08-31T03:45:43+00:00	unbounded	20260831T033020+0000	
5348	2026-08-31T03:45:41+00:00	unbounded	20260831T033020+0000	
5349	2026-08-31T03:45:38+00:00	unbounded	20260831T033020+0000	
5351	2026-08-31T03:45:34+00:00	unbounded	20260831T033020+0000	
5352	2026-08-31T03:45:31+00:00	unbounded	20260831T033020+0000	
5353	2026-08-31T03:45:29+00:00	unbounded	20260831T033020+0000	
5354	2026-08-31T03:45:27+00:00	unbounded	20260831T033020+0000	
5355	2026-08-31T03:45:25+00:00	unbounded	20260831T033020+0000	
5356	2026-08-31T03:45:23+00:00	unbounded	20260831T033020+0000	
5357	2026-08-31T03:45:20+00:00	unbounded	20260831T033020+0000	
5358	2026-08-31T03:45:18+00:00	unbounded	20260831T033020+0000	
5359	2026-08-31T03:45:16+00:00	unbounded	20260831T033020+0000	
5360	2026-08-31T03:45:14+00:00	unbounded	20260831T033020+0000	
5361	2026-08-31T03:45:11+00:00	unbounded	20260831T033020+0000	
5362	2026-08-31T03:45:09+00:00	unbounded	20260831T033020+0000	
5363	2026-08-31T03:45:07+00:00	unbounded	20260831T033020+0000	
5364	2026-08-31T03:45:05+00:00	unbounded	20260831T033020+0000	
5365	2026-08-31T03:45:03+00:00	unbounded	20260831T033020+0000	
5366	2026-08-31T03:45:01+00:00	unbounded	20260831T033020+0000	
5367	2026-08-31T03:44:58+00:00	unbounded	20260831T033020+0000	
5368	2026-08-31T03:44:56+00:00	unbounded	20260831T033020+0000	
5369	2026-08-31T03:44:54+00:00	unbounded	20260831T033020+0000	
5370	2026-08-31T03:44:52+00:00	unbounded	20260831T033020+0000	
5371	2026-08-31T03:44:50+00:00	unbounded	20260831T033020+0000	
5372	2026-08-31T03:44:48+00:00	unbounded	20260831T033020+0000	
5373	2026-08-31T03:44:46+00:00	unbounded	20260831T033020+0000	
5374	2026-08-31T03:44:44+00:00	unbounded	20260831T033020+0000	
5375	2026-08-31T03:44:42+00:00	unbounded	20260831T033020+0000	
5376	2026-08-31T03:44:39+00:00	unbounded	20260831T033020+0000	
5377	2026-08-31T03:44:37+00:00	unbounded	20260831T033020+0000	
5378	2026-08-31T03:44:35+00:00	unbounded	20260831T033020+0000	
5379	2026-08-31T03:44:33+00:00	unbounded	20260831T033020+0000	
5380	2026-08-31T03:44:31+00:00	unbounded	20260831T033020+0000	
5381	2026-08-31T03:44:29+00:00	unbounded	20260831T033020+0000	
5382	2026-08-31T03:44:27+00:00	unbounded	20260831T033020+0000	
5383	2026-08-31T03:44:25+00:00	unbounded	20260831T033020+0000	
5384	2026-08-31T03:44:23+00:00	unbounded	20260831T033020+0000	
5385	2026-08-31T03:44:21+00:00	unbounded	20260831T033020+0000	
5386	2026-08-31T03:44:19+00:00	unbounded	20260831T033020+0000	
5387	2026-08-31T03:44:17+00:00	unbounded	20260831T033020+0000	
5388	2026-08-31T03:44:15+00:00	unbounded	20260831T033020+0000	
5389	2026-08-31T03:44:12+00:00	unbounded	20260831T033020+0000	
5390	2026-08-31T03:44:10+00:00	unbounded	20260831T033020+0000	
5391	2026-08-31T03:44:08+00:00	unbounded	20260831T033020+0000	
5392	2026-08-31T03:44:06+00:00	unbounded	20260831T033020+0000	
5393	2026-08-31T03:44:04+00:00	unbounded	20260831T033020+0000	
5394	2026-08-31T03:44:02+00:00	unbounded	20260831T033020+0000	
5395	2026-08-31T03:43:59+00:00	unbounded	20260831T033020+0000	
5396	2026-08-31T03:43:57+00:00	unbounded	20260831T033020+0000	
5397	2026-08-31T03:43:55+00:00	unbounded	20260831T033020+0000	
5399	2026-08-31T03:43:51+00:00	unbounded	20260831T033020+0000	
5400	2026-08-31T03:43:49+00:00	unbounded	20260831T033020+0000	
5401	2026-08-31T03:43:47+00:00	unbounded	20260831T033020+0000	
5402	2026-08-31T03:43:45+00:00	unbounded	20260831T033020+0000	
5403	2026-08-31T03:43:43+00:00	unbounded	20260831T033020+0000	
5404	2026-08-31T03:43:41+00:00	unbounded	20260831T033020+0000	
5405	2026-08-31T03:43:39+00:00	unbounded	20260831T033020+0000	
5406	2026-08-31T03:43:36+00:00	unbounded	20260831T033020+0000	
5407	2026-08-31T03:43:34+00:00	unbounded	20260831T033020+0000	
5408	2026-08-31T03:43:32+00:00	unbounded	20260831T033020+0000	
5409	2026-08-31T03:43:30+00:00	unbounded	20260831T033020+0000	
5410	2026-08-31T03:43:28+00:00	unbounded	20260831T033020+0000	
5411	2026-08-31T03:43:26+00:00	unbounded	20260831T033020+0000	
5412	2026-08-31T03:43:24+00:00	unbounded	20260831T033020+0000	
5413	2026-08-31T03:43:21+00:00	unbounded	20260831T033020+0000	
